{'01044099999': -10.0, '02293099999': -27.6}
         312338 function calls (307852 primitive calls) in 0.710 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
      123    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
       80    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      266    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 readers.py:16(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 cookies.py:176(RequestsCookieJar)
        1    0.000    0.000    0.000    0.000 response.py:68(addinfourl)
        4    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
     1041    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      286    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
       18    0.000    0.000    0.000    0.000 enum.py:367(__setitem__)
        1    0.000    0.000    0.000    0.000 socket.py:220(__init__)
       38    0.000    0.000    0.000    0.000 typing.py:1679(<genexpr>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        8    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      300    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 ssl.py:604(minimum_version)
        1    0.000    0.000    0.000    0.000 models.py:10(CharsetMatch)
      284    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
